id;kanji;furigana;french;word;lesson
1;山;やま;montagne;0;1
2;川;かわ;rivière;0;1
3;田;た;rizière;0;1
4;日;ひ;jour|soleil;0;1
5;月;つき;lune|mois;0;1
6;火;ひ;feu;0;1
7;富,士,山;ふ,じ,さん;Mont Fuji;1;1
8;隅,田,川;すみ,だ,がわ;Rivière Sumida;1;1
9;河,川;か,せん;cours d'eau;1;1
10;毎,日;まい,にち;chaque jour;1;1
11;誕,生,日;たん,じょう,び;jour de naissance;1;1
12;日,曜,日;にち,よう,び;dimanche;1;1
13;母,の,日;はは,の,ひ;fête des mères;1;1
14;休,日;きゅう,じつ;jour de congé;1;1
15;月,曜,日;げつ,よう,び;lundi;1;1
16;吉,田;よし,だ;Yoshida;1;1
17;油,田;ゆ,でん;gisement de pétrole;1;1
18;水,田;すい,でん;rizière remplie d'eau;1;1
19;火,曜,日;か,よう,び;mardi;1;1
20;水;みず;eau;0;2
21;木;き;arbre|bois;0;2
22;金;かね;argent|monnaie;0;2
23;土;つち;terre|sol;0;2
24;人;ひと;personne|autrui;0;2
25;子;こ;enfant|petit;0;2
26;水,曜,日;すい,よう,び;mercredi;1;2
27;木,曜,日;もく,よう,び;jeudi;1;2
28;金,曜,日;きん,よう,び;vendredi;1;2
29;土,曜,日;ど,よう,び;samedi;1;2
30;日,本,人;に,ほん,じん;Japonais(e);1;2
31;女,の,子;おんな,の,こ;fille;1;2
32;男,の,子;おとこ,の,こ;garçon;1;2
33;女,子;じょ,し;femme|fille;1;2
34;男,子;だん,し;homme|garçon;1;2
35;土,日;ど,にち;week-end;1;2
36;一,人;ひと,り;une personne;1;2
37;二,人;ふた,り;deux personnes;1;2
38;三,人;さん,にん;trois personnes;1;2
39;女;おんな;femme;0;3
40;行,く;い,く;aller;0;3
41;来,る;く,る;venir;0;3
42;円,い;まる,い;rond;0;3
43;今;いま;maintenant;0;3
44;休,み;やす,み;repos|pause|congé;0;3
45;女,性;じょ,せい;femme;1;3
46;銀,行;ぎん,こう;banque;1;3
47;旅,行;りょ,こう;voyage;1;3
48;来,月;らい,げつ;le mois prochain;1;3
49;来,週;らい,しゅう;la semaine prochaine;1;3
50;円;えん;yen;1;3
51;円,形;えん,けい;rond|circulaire;1;3
52;今,月;こん,げつ;ce mois-ci;1;3
53;今,週;こん,しゅう;cette semaine;1;3
54;休,む;やす,む;se reposer;1;3
55;昼,休,み;ひる,やす,み;pause du midi;1;3
56;休,憩;きゅう,けい;pause|repos;1;3
57;年;とし;âge|année;0;4
58;本;もと;origine|source;0;4
59;一,つ;ひと,つ;un (unité);0;4
60;二,つ;ふた,つ;deux (unités);0;4
61;三,つ;みっ,つ;trois (unités);0;4
62;四,つ;よっ,つ;quatre (unités);0;4
63;年;ねん;année;1;4
64;来,年;らい,ねん;l'année prochaine;1;4
65;今,年;こ,とし;cette année;1;4
66;本;ほん;livre;1;4
67;山,本;やま,もと;Yamamoto;1;4
68;本,人;ほん,にん;la personne elle-même;1;4
69;一,月;いち,がつ;janvier;1;4
70;一,本;いっ,ぽん;1 objet long et cylindrique;1;4
71;一,回;いっ,かい;1 fois;1;4
72;二,月;に,がつ;février;1;4
73;二,回;に,かい;2 fois;1;4
74;三,月;さん,がつ;mars;1;4
75;三,本;さん,ぼん;3 objets longs et cylindriques;1;4
76;四,月;し,がつ;avril;1;4
77;本,年;ほん,ねん;l'année courante|cette année;1;4
78;五,つ;いつ,つ;cinq (unités);0;5
79;六,つ;むっ,つ;six (unités);0;5
80;七,つ;なな,つ;sept (unités);0;5
81;八,つ;やっ,つ;huit (unités);0;5
82;九,つ;ここの,つ;neuf (unités);0;5
83;十;とお;dix (unités);0;5
84;五,月;ごが,つ;mai;1;5
85;六,月;ろく,がつ;juin;1;5
86;七,月;しち,がつ;juillet;1;5
87;八,月;はち,がつ;août;1;5
88;九,月;く,がつ;septembre;1;5
89;十,月;じゅう,がつ;octobre;1;5
90;五,人;ご,にん;cinq personnes;1;5
91;六,人;ろく,にん;6 personnes;1;5
92;六,回;ろっ,かい;6 fois;1;5
93;六,冊;ろく,さつ;6 imprimés;1;5
94;八,冊;はっ,さつ;8 imprimés;1;5
95;八,匹;はっ,ぴき;8 petits animaux;1;5
96;十,匹;じゅっ,ぴき;10 petits animaux;1;5
97;九,人;きゅう,にん;9 personnes;1;5
98;一,日;つい,たち;1er jour du mois;1;5
99;二,日;ふつ,か;2e jour du mois;1;5
100;三,日;みっ,か;3e jour du mois;1;5
101;四,日;よっ,か;4e jour du mois;1;5
102;五,日;いつ,か;5e jour du mois;1;5
103;六,日;むい,か;6e jour du mois;1;5
104;七,日;なの,か;7e jour du mois;1;5
105;八,日;よう,か;8e jour du mois;1;5
106;九,日;ここの,か;9e jour du mois;1;5
107;十,日;とお,か;10e jour du mois;1;5
108;十,一,日;じゅう,いち,にち;11e jour du mois;1;5
109;十,四,日;じゅう,よっ,か;14e jour du mois;1;5
110;二,十,日;は,つ,か;20e jour du mois;1;5
111;百;ひゃく;cent;0;6
112;千;せん;mille;0;6
113;万;まん;dix mille;0;6
114;先;さき;avant|futur|précédent;0;6
115;生,き,る;い,き,る;vivre;0;6
116;口;くち;bouche|entrée;0;6
117;三,百;さん,びゃく;300;1;6
118;六,百;ろっ,ぴゃく;600;1;6
119;百,万;ひゃく,まん;1000000;1;6
120;三,千;さん,ぜん;3000;1;6
121;一,千,万;いっ,せん,まん;10000000;1;6
122;十,万;じゅう,まん;100000;1;6
123;生,ビ,ー,ル;生,ビ,ー,ル;bière en fût (à la pression);1;6
124;先,生;せん,せい;professeur|maître;1;6
125;生,む;う,む;mettre au monde;1;6
126;生,ま,れ,る;う,ま,れ,る;naître;1;6
127;生,け,花;い,け,ばな;arrangement floral;1;6
128;先,日;せん,じつ;l'autre jour;1;6
129;人,生;じん,せい;vie (que l'on mène);1;6
130;先,月;せん,げつ;le mois dernier;1;6
131;先,行;せん,こう;antérieur;1;6
132;人,口;じん,こう;population;1;6
133;出,口;で,ぐち;sortie;1;6
134;入,り,口;い,り,ぐち;entrée;1;6
135;川,口;かわ,ぐち;embouchure;1;6
136;目;め;œil;0;7
137;耳;みみ;oreille|anse;0;7
138;門;もん;porte|grille;0;7
139;間;あいだ;entre;0;7
140;問,い;と,い;question;0;7
141;聞,く;き,く;demander|écouter;0;7
142;一,人,目;ひと,り,め;première personne;1;7
143;二,人,目;ふた,り,め;deuxième personne;1;7
144;三,人,目;さん,にん,め;troisième personne;1;7
145;目,的;もく,てき;but|objectif;1;7
146;科,目;か,もく;matière|discipline;1;7
147;中,耳,炎;ちゅう,じ,えん;otite de l'oreille moyenne;1;7
148;部,門;ぶ,もん;section|secteur|classe|catégorie;1;7
149;専,門;せん,もん;spécialité|domaine d'études;1;7
150;時,間;じ,かん;temps;1;7
151;人,間;にん,げん;être humain;1;7
152;昼,間;ひる,ま;le jour|pendant le jour;1;7
153;問,う;と,う;demander|questionner;1;7
154;問,い,合,わ,せ;と,い,あ,わ,せ;demande de renseignements;1;7
155;質,問;しつ,もん;question;1;7
156;問,題;もん,だい;problème;1;7
157;新,聞;しん,ぶん;journal;1;7
158;毎;まい;chaque|tous les;0;8
159;食,べ,る;た,べ,る;manger;0;8
160;飲,む;の,む;boire;0;8
161;言,う;い,う;dire;0;8
162;話,す;はな,す;parler;0;8
163;語,る;かた,る;raconter;0;8
164;毎,月;まい,つき;tous les mois;1;8
165;食,べ,物;た,べ,もの;nourriture;1;8
166;食,事;しょく,じ;repas;1;8
167;飲,食;いん,しょく;boire et manger;1;8
168;飲,み,物;の,み,もの;breuvage;1;8
169;飲,料;いん,りょう;boisson|breuvage;1;8
170;言,葉;こと,ば;mot|parole|langue;1;8
171;一,言;ひと,こと;petit mot|petit commentaire;1;8
172;言,語;げん,ご;langage|langue;1;8
173;話;はなし;histoire|conte;1;8
174;電,話;でん,わ;téléphone;1;8
175;手,話;しゅ,わ;langage des signes;1;8
176;日,本,語;に,ほん,ご;langue japonais;1;8
177;物,語;もの,がたり;récit|histoire|narration;1;8
178;読,む;よ,む;lire;0;9
179;見,る;み,る;voir|regarder;0;9
180;貝;かい;coquillage;0;9
181;買,う;か,う;acheter;0;9
182;体;からだ;corps;0;9
183;大,き,い;おお,き,い;grand;0;9
184;読,書;どく,しょ;lecture;1;9
185;読,点;とう,てん;virgule;1;9
186;見,せ,る;み,せ,る;montrer;1;9
187;見,学;けん,がく;visite d'études;1;9
188;意,見;い,けん;opinion;1;9
189;貝,殻;かい,がら;coquille (d'une moule);1;9
190;赤,貝;あか,がい;coque;1;9
191;ム,ー,ル,貝;ム,ー,ル,がい;moule (à la marinière);1;9
192;買,い,物;か,い,もの;achats|emplettes;1;9
193;売,買;ばい,ばい;achat et vente|commerce;1;9
194;体,重;たい,じゅう;poids (de quelqu'un);1;9
195;体,育;たい,いく;éducation physique;1;9
196;大,学;だい,がく;université;1;9
197;大,体;だい,たい;grosso modo|environ;1;9
198;小さい;ちい,さ,い;petit;0;10
199;上;うえ;sur|dessus;0;10
200;中;なか;dans|à l'intérieur;0;10
201;下;した;sous|dessous;0;10
202;右;みぎ;droite;0;10
203;工;こう;travail|travailleur;0;10
204;小,林;こば,やし;Kobayashi;1;10
205;小,学,校;しょう,がっ,こう;école primaire;1;10
206;大,小;だい,しょう;grand et petit|plusieurs dimensions;1;10
207;上,着;うわ,ぎ;veston;1;10
208;上,り;のぼ,り;montée;1;10
209;上,手;じょう,ず;habile;1;10
210;中,学,校;ちゅう,がっ,こう;école secondaire;1;10
211;中,国,語;ちゅう,ごく,ご;langue chinoise;1;10
212;一,日,中;いち,にち,じゅう;toute la journée;1;10
213;下,り;くだ,り;descente;1;10
214;地,下,鉄;ち,か,てつ;métro;1;10
215;下,手;へ,た;maladroit|malhabile;1;10
216;右,翼;う,よく;aile droite|droite (politique);1;10
217;右,折;う,せつ;tourner à droite;1;10
218;工,場;こう,じょう;usine;1;10
219;工,業;こう,ぎょう;industrie;1;10
220;左;ひだり;gauche;0;11
221;明,か,り;あ,か,り;lumière;0;11
222;好,き;す,き;aimé|aimer;0;11
223;時;とき;temps|moment;0;11
224;分;ふん;minute;0;11
225;半,ば;なか,ば;demi|moitié|milieu;0;11
226;左,側;ひだり,がわ;côté gauche;1;11
227;左,翼;さ,よく;aile gauche|gauche (politique);1;11
228;左,折;さ,せつ;tourner à gauche;1;11
229;明,る,い;あか,る,い;clair|éclairé;1;11
230;明,ら,か;あき,ら,か;évident|manifeste|clair;1;11
231;文,明;ぶん,めい;civilisation;1;11
232;不,明;ふ,めい;obscur|incertain|inconnu;1;11
233;好,む;この,む;apprécier|aimer;1;11
234;大,好,物;だい,こう,ぶつ;(plat) favori|dont on raffole;1;11
235;分,け,る;わ,け,る;diviser|séparer;1;11
236;分,か,る;わ,か,る;comprendre;1;11
237;半,月;はん,つき;(environ) quinze jours;1;11
238;何,分;なん,ぷん;combien de minutes?;1;11
239;半,分;はん,ぶん;moitié|demi;1;11
240;時,計;と,けい;montre|horloge;1;11
241;林;はやし;bois|forêt;0;12
242;糸;いと;fil;0;12
243;線;せん;ligne;0;12
244;地;ち;terrain|terre|sol;0;12
245;鉄;てつ;fer;0;12
246;机;つくえ;bureau (meuble);0;12
247;森,林;しん,りん;forêt;1;12
248;毛,糸;け,いと;fil de laine;1;12
249;製,糸;せい,し;filage|filature;1;12
250;点,線;てん,せん;ligne pointillée;1;12
251;三,番,線;さん,ばん,せん;quai numéro 3;1;12
252;地,平,線;ち,へい,せん;horizon;1;12
253;土,地;と,ち;terre|sol|territoire;1;12
254;地,震;じ,しん;tremblement de terre;1;12
255;鉄,筋;てっ,きん;armature;1;12
256;鉄,製;てっ,せい;(fait) de fer|en fer;1;12
257;勉,強,机;べん,きょう,づくえ;bureau de travail;1;12
258;机,上;き,じょう;irréalisable|(beau) sur papier;1;12
259;地,図;ち,ず;carte géographique;1;12
260;教,え,る;おし,え,る;enseigner|montrer;0;13
261;友;とも;ami;0;13
262;父;ちち;mon père;0;13
263;母;はは;ma mère;0;13
264;兄;あに;mon frère aîné;0;13
265;弟;おとうと;mon frère cadet;0;13
266;教,室;きょう,しつ;salle de classe;1;13
267;宗,教;しゅう,きょう;religion;1;13
268;教,会;きょう,かい;église;1;13
269;友,達;とも,だち;ami(s);1;13
270;友,人;ゆう,じん;ami(s);1;13
271;友,情;ゆう,じょう;amitié;1;13
272;親,友;しん,ゆう;ami intime|meilleur ami;1;13
273;お,父,さん;お,とう,さん;papa|votre père;1;13
274;お,母,さん;お,かあ,さん;maman|votre mère;1;13
275;神,父;しん,ぷ;prêtre catholique;1;13
276;母,国;ぼ,こく;pays natal;1;13
277;母,国,語;ぼ,こく,ご;langue maternelle;1;13
278;お,兄,さん;お,にい,さん;grand frère|votre grand frère;1;13
279;弟,さん;おとうと,さん;votre petit frère;1;13
280;兄,弟;きょう,だい;frères et sœurs;1;13
281;姉;あね;ma sœur aînée;0;14
282;妹;いもうと;ma sœur cadette;0;14
283;文;ぶん;phrase|écrit;0;14
284;方;ほう;direction;0;14
285;回,す;まわ,す;faire tourner;0;14
286;会,う;あ,う;rencontrer;0;14
287;お,姉,さん;お,ねえ,さん;grande sœur|votre grande sœur;1;14
288;妹,さん;いもうと,さん;petite sœur|votre petite sœur;1;14
289;姉,妹;し,まい;sœurs;1;14
290;文;ふみ;texte|écrit|lettre;1;14
291;文,法;ぶん,ぽう;grammaire;1;14
292;文,章;ぶん,しょう;phrase|écrit|texte|passage|style;1;14
293;例,文;れい,ぶん;phrase exemple;1;14
294;文,字;も,じ;lettre|caractère;1;14
295;方;かた;personne|gens (politesse);1;14
296;夕,方;ゆう,がた;soir|soirée|début de soirée;1;14
297;今,回;こん,かい;cette fois-ci;1;14
298;会,話;かい,わ;conversation;1;14
299;大,会;たい,かい;congrès|assemblée générale;1;14
300;何;なに;quoi?;0;15
301;社;しゃ;association|compagnie;0;15
302;新,し,い;あたら,し,い;nouveau;0;15
303;力;ちから;force|pouvoir;0;15
304;男;おとこ;homme;0;15
305;竹;たけ;bambou;0;15
306;何;なん;quoi?;0;15
307;何,時,間;なん,じ,かん;combien de temps?;1;15
308;何,人;なん,にん;combien de personnes?;1;15
309;幾,何,学;き,か,がく;géométrie;1;15
310;社;やしろ;temple shintoïste;1;15
311;会,社;かい,しゃ;compagnie|entreprise;1;15
312;神,社;じん,じゃ;temple shintoïste;1;15
313;新,た;あら,た;à nouveau;1;15
314;新,年;しん,ねん;nouvelle année;1;15
315;体,力;たい,りょく;force physique;1;15
316;男,女;だん,じょ;hommes et femmes;1;15
317;男,性;だん,せい;homme;1;15
318;長,男;ちょう,なん;fils aîné|premier fils;1;15
319;竹,や,ぶ;たけ,や,ぶ;fourré de bambous;1;15
320;竹,林;ちく,りん;forêt de bambous;1;15
321;答,え,る;こた,え,る;répondre;0;16
322;学,ぶ;まな,ぶ;apprendre|étudier;0;16
323;校;こう;correction|réflexion;0;16
324;雨;あめ;pluie;0;16
325;雲;くも;nuage;0;16
326;雪;ゆき;neige;0;16
327;答,え;こた,え;réponse;1;16
328;解,答;かい,とう;réponse (à une question);1;16
329;解,答,用,紙;かい,とう,よう,し;feuille réponse;1;16
330;文,学;ぶん,がく;littérature;1;16
331;数,学;すう,がく;mathématiques;1;16
332;学,校;がっ,こう;école;1;16
333;校,庭;こう,てい;cour de récréation;1;16
334;雨,天;う,てん;temps pluvieux;1;16
335;雷,雨;らい,う;orage;1;16
336;雨,傘;あま,がさ;parapluie;1;16
337;雨,雲;あま,ぐも;nuages de pluie;1;16
338;雲,海;うん,かい;mer de nuages;1;16
339;雪,搔,き;ゆき,か,き;enlèvement de la neige;1;16
340;新,雪;しん,せつ;nouvelle neige;1;16
341;除,雪;じょ,せつ;déneigement;1;16
342;電;でん;électricité;0;17
343;天;てん;ciel|firmament;0;17
344;気;き;esprit|énergie vitale;0;17
345;安,い;やす,い;bon marché;0;17
346;家;いえ;maison;0;17
347;室;しつ;pièce|chambre;0;17
348;電,車;でん,しゃ;train;1;17
349;停,電;てい,でん;panne d'électricité;1;17
350;天,の,川;あま,の,がわ;la voie lactée;1;17
351;天,体;てん,たい;astre|corps céleste;1;17
352;天,気;てん,き;température|temps;1;17
353;電,気;でん,き;électricité;1;17
354;本,気;ほん,き;sérieux|sérieusement;1;17
355;気,持,ち;き,も,ち;sentiment|état d'âme;1;17
356;安,心;あん,しん;tranquillité d'esprit;1;17
357;安,定;あん,てい;stabilité;1;17
358;家,族;か,ぞく;famille;1;17
359;一,軒,家;いっ,けん,や;maison individuelle;1;17
360;和,室;わ,しつ;pièce japonaise;1;17
361;海;うみ;mer;0;18
362;春;はる;printemps;0;18
363;夏;なつ;été;0;18
364;秋;あき;automne;0;18
365;冬;ふゆ;hiver;0;18
366;花;はな;fleur;0;18
367;海,水;かい,すい;eau de mer;1;18
368;洪,水;こう,ずい;inondation;1;18
369;日,本,海;に,ほん,かい;Mer du Japon;1;18
370;北,海,道;ほっ,かい,どう;Hokkaido;1;18
371;春,風;はる,かぜ;brise printanière;1;18
372;青,春;せい,しゅん;jeuness;1;18
373;夏,休,み;なつ,やす,み;vacances d'été;1;18
374;夏,季,五,輪;か,き,ご,りん;Jeux olympiques d'été;1;18
375;秋,風;あき,かぜ;vent d'automne;1;18
376;千,秋,楽;せん,しゅう,らく;dernière représentation;1;18
377;冬,休,み;ふゆ,やす,み;vacances d'hiver;1;18
378;冬,季,五,輪;とう,き,ご,りん;Jeux olympiques d'hiver;1;18
379;花,火;はな,び;feu d'artifice;1;18
380;花,瓶;か,びん;vase (pour fleurs);1;18
